CMDLINE python3 test/xmr4el/test_train_pipeline.py
MEM 4048.281250 1760698672.3763
MEM 3321.914062 1760698672.4769
MEM 2911.117188 1760698672.5780
MEM 3694.304688 1760698672.6790
MEM 3930.769531 1760698672.7803
MEM 3879.222656 1760698672.8809
MEM 2438.386719 1760698672.9826
MEM 2672.042969 1760698673.0831
MEM 3682.269531 1760698673.1841
MEM 4217.257812 1760698673.2863
MEM 3077.164062 1760698673.3870
MEM 2197.648438 1760698673.4920
MEM 3401.230469 1760698673.5942
MEM 3745.542969 1760698673.6950
MEM 2681.144531 1760698673.7961
MEM 2533.960938 1760698673.8974
MEM 3840.171875 1760698673.9980
MEM 4010.875000 1760698674.0991
MEM 2464.257812 1760698674.2000
MEM 2798.082031 1760698674.3029
MEM 4072.988281 1760698674.4078
MEM 3855.882812 1760698674.5090
MEM 1590.085938 1760698674.6100
MEM 2679.585938 1760698674.7110
MEM 3938.687500 1760698674.8152
MEM 3828.144531 1760698674.9160
MEM 1950.609375 1760698675.0173
MEM 2523.746094 1760698675.1202
MEM 3910.296875 1760698675.2211
MEM 3962.457031 1760698675.3223
MEM 2444.558594 1760698675.4230
MEM 2481.523438 1760698675.5242
MEM 4093.738281 1760698675.6253
MEM 4065.738281 1760698675.7261
MEM 2076.414062 1760698675.8270
MEM 2669.808594 1760698675.9280
MEM 4124.664062 1760698676.0302
MEM 4120.292969 1760698676.1310
MEM 1578.085938 1760698676.2322
MEM 2824.085938 1760698676.3360
MEM 4261.281250 1760698676.4371
MEM 3990.582031 1760698676.5380
MEM 1929.972656 1760698676.6389
MEM 2838.910156 1760698676.7401
MEM 4047.835938 1760698676.8410
MEM 3693.667969 1760698676.9421
MEM 2018.570312 1760698677.0432
MEM 3189.121094 1760698677.1454
MEM 3830.488281 1760698677.2462
MEM 3100.496094 1760698677.3470
MEM 2729.433594 1760698677.4484
MEM 3447.550781 1760698677.5493
MEM 3757.390625 1760698677.6500
MEM 2918.339844 1760698677.7521
MEM 2651.316406 1760698677.8528
MEM 3003.921875 1760698677.9552
MEM 1411.859375 1760698678.0561
MEM 1933.601562 1760698678.1590
MEM 3569.238281 1760698678.2601
MEM 4904.246094 1760698678.3615
MEM 4572.121094 1760698678.4624
MEM 3339.394531 1760698678.5634
MEM 2566.800781 1760698678.6702
MEM 4179.378906 1760698678.7713
MEM 4482.558594 1760698678.8729
MEM 4164.000000 1760698678.9740
MEM 2073.195312 1760698679.0752
MEM 3054.457031 1760698679.1760
